querycode,query,num_ads,num_clicks,num_impressions,num_word,brand,location,log_trans,avg_ad_quality,log_imp,avg_num_ads,categoryid
707,mac,3179,153,464,1,0,0,1.3862944,0.04819998,6.1398846,6.825431,11
708,mega million,2957,153,484,2,0,0,2.6390573,0.02016987,6.1820849,6.0578512,0
709,names,2791,153,409,1,0,0,0.69314718,0.03004967,6.0137152,6.8166259,6
710,the biggest lose,3342,153,425,3,0,0,2.0794415,0.04093848,6.0520892,7.8235294,3
711,mrsa,2545,152,373,1,0,0,0.69314718,0.03608769,5.9215784,6.7882038,12
712,sidestep,2878,152,365,1,0,0,2.7725887,0.00722417,5.8998974,7.8767123,14
713,transformers,7247,152,1050,1,0,0,1.9459101,0.02077222,6.9565454,6.8933333,5
714,aloha airlines,2942,151,373,2,0,1,2.8903718,0.03715887,5.9215784,7.8713137,4
715,hotel,2543,151,323,1,0,0,3.6375862,0.04501787,5.7776523,7.8544892,4
716,limited too,3256,151,502,2,1,0,3.5553481,0.03846957,6.2186001,6.4760956,8
717,fire fox,2088,150,263,2,1,0,1.6094379,0.07500076,5.572154,7.8935361,11
718,nj lottery,5276,150,1817,2,0,0,2.5649494,0.03736125,7.5049421,2.8981838,0
719,adam and eve,1884,149,267,3,0,0,2.0794415,0.08402812,5.5872487,7.0337079,15
720,dhl tracking,4401,149,566,2,1,0,3.8066625,0.02660176,6.3385941,7.754417,10
721,florida lottery,5320,149,2096,2,0,1,2.7725887,0.02628543,7.647786,2.5348282,0
722,hurricane dean,14536,149,2916,2,0,1,0,0.01945127,7.9779681,4.983882,18
723,i tunes,3924,149,498,2,0,0,2.8903718,0.02921497,6.2106001,7.8634538,0
724,news,13463,149,2065,1,0,0,1.6094379,0.01110463,7.6328855,6.51477,18
725,remax,13149,149,3205,1,0,0,3.0910425,0.01188753,8.0724674,4.1017161,10
726,blair,2320,148,296,1,0,0,2.4849067,0.06245973,5.6903595,7.8209459,19
727,cbs,21466,148,4859,1,1,0,2.0794415,0.00967036,8.4885879,4.417164,3
728,merv griffin,1925,148,415,2,0,1,1.7917595,0.06102787,6.0282785,4.6385542,3
729,quest,3176,148,401,1,0,0,1.0986123,0.03209842,5.9939614,7.9027431,19
730,rent a center,3122,148,396,3,1,1,3.6635616,0.06749435,5.9814142,7.8838384,10
731,you tube,88779,148,43347,2,1,0,0.69314718,0.0043324,10.676993,2.0479157,15
732,adult toys,2001,147,258,2,0,0,2.4849067,0.07684747,5.5529596,7.7015504,8
